km_age,mark,model,power,segment,state,transmission,year,engine_type,region,body_type,color,drive_type,wheell_type,condition,owners_count,customs_cleared,price
78528,MERCEDES,GLK_KLASSE,170,PREMIUM,used,AUTOMATIC,2015,DIESEL,Москва,внедорожник 5 дв.,серый,полный,Левый,Не требует ремонта,2 владельца,Растаможен,1549000
80656,LAND_ROVER,RANGE_ROVER_VELAR,180,PREMIUM,used,AUTOMATIC,2017,DIESEL,Москва,внедорожник 5 дв.,красный,полный,Левый,Не требует ремонта,3 или более,Растаможен,3298000
0,VOLVO,XC90,249,PREMIUM,new,AUTOMATIC,2020,GASOLINE,Москва,внедорожник 5 дв.,синий,неизвестно,Левый,Новая,0 владелецев,Растаможен,5181200
66609,MERCEDES,GLC_KLASSE,204,PREMIUM,used,AUTOMATIC,2017,DIESEL,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,3 или более,Растаможен,2818000
0,MERCEDES,C_KLASSE,204,PREMIUM,new,AUTOMATIC,2020,GASOLINE,Москва,седан,белый,неизвестно,Левый,Новая,0 владелецев,Растаможен,3399900
68237,MINI,CLUBMAN,192,PREMIUM,used,AUTOMATIC,2016,GASOLINE,Москва,универсал 5 дв.,серый,передний,Левый,Не требует ремонта,2 владельца,Растаможен,1595000
0,AUDI,A5,249,PREMIUM,new,ROBOT,2020,GASOLINE,Москва,лифтбек,серый,неизвестно,Левый,Новая,0 владелецев,Растаможен,3913937
47944,MERCEDES,C_KLASSE_AMG,510,PREMIUM,used,AUTOMATIC,2017,GASOLINE,Москва,купе,серый,задний,Левый,Не требует ремонта,2 владельца,Растаможен,4178000
67161,PORSCHE,MACAN,340,PREMIUM,used,ROBOT,2014,GASOLINE,Москва,внедорожник 5 дв.,красный,полный,Левый,Не требует ремонта,3 или более,Растаможен,2584000
148329,MERCEDES,G_KLASSE,245,PREMIUM,used,AUTOMATIC,2016,DIESEL,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,3 или более,Растаможен,4164000
27071,VOLVO,XC40,150,PREMIUM,used,AUTOMATIC,2018,DIESEL,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,2590000
170000,HYUNDAI,AVANTE,140,MEDIUM,used,AUTOMATIC,2011,GASOLINE,Москва,седан,чёрный,передний,Левый,Не требует ремонта,3 или более,Растаможен,470000
